model_key,modelo,familia,diseno,split,categoria,positivos,recall,falsos_negativos,pr_auc
svm__flat,SVM lineal calibrado palabra+carácter · Plano,linear_svm_word_char,flat,validation_expanded,RACISMO_DISCRIMINACION,281,0.39501779359430605,170,0.299502841778615
svm__flat,SVM lineal calibrado palabra+carácter · Plano,linear_svm_word_char,flat,validation_expanded,ACOSO_GENERO_IDENTIDAD,304,0.34539473684210525,199,0.20317683941949294
svm__flat,SVM lineal calibrado palabra+carácter · Plano,linear_svm_word_char,flat,validation_expanded,ACOSO_PERSONAL,464,0.34698275862068967,303,0.1900428187541587
svm__flat,SVM lineal calibrado palabra+carácter · Plano,linear_svm_word_char,flat,validation_expanded,AMENAZA_DIRECTA,96,0.3020833333333333,67,0.193365943670774
svm__flat,SVM lineal calibrado palabra+carácter · Plano,linear_svm_word_char,flat,validation_expanded,CONTENIDO_SEXUAL,334,0.47005988023952094,177,0.41497712849475066
svm__flat,SVM lineal calibrado palabra+carácter · Plano,linear_svm_word_char,flat,test_expanded,RACISMO_DISCRIMINACION,256,0.3671875,162,0.24223417817730827
svm__flat,SVM lineal calibrado palabra+carácter · Plano,linear_svm_word_char,flat,test_expanded,ACOSO_GENERO_IDENTIDAD,263,0.39543726235741444,159,0.23096434402877308
svm__flat,SVM lineal calibrado palabra+carácter · Plano,linear_svm_word_char,flat,test_expanded,ACOSO_PERSONAL,435,0.2597701149425287,322,0.1655628654005665
svm__flat,SVM lineal calibrado palabra+carácter · Plano,linear_svm_word_char,flat,test_expanded,AMENAZA_DIRECTA,111,0.12612612612612611,97,0.1104146539496828
svm__flat,SVM lineal calibrado palabra+carácter · Plano,linear_svm_word_char,flat,test_expanded,CONTENIDO_SEXUAL,335,0.4507462686567164,184,0.4039036662278617
svm__shared_hierarchy,SVM lineal calibrado palabra+carácter · Jerárquico clásico con TF-IDF compartido,linear_svm_word_char,shared_hierarchy,validation_expanded,RACISMO_DISCRIMINACION,281,0.3665480427046263,178,0.2864218864367598
svm__shared_hierarchy,SVM lineal calibrado palabra+carácter · Jerárquico clásico con TF-IDF compartido,linear_svm_word_char,shared_hierarchy,validation_expanded,ACOSO_GENERO_IDENTIDAD,304,0.32894736842105265,204,0.20023462920347718
svm__shared_hierarchy,SVM lineal calibrado palabra+carácter · Jerárquico clásico con TF-IDF compartido,linear_svm_word_char,shared_hierarchy,validation_expanded,ACOSO_PERSONAL,464,0.3642241379310345,295,0.18183114466244016
svm__shared_hierarchy,SVM lineal calibrado palabra+carácter · Jerárquico clásico con TF-IDF compartido,linear_svm_word_char,shared_hierarchy,validation_expanded,AMENAZA_DIRECTA,96,0.375,60,0.18011075230548027
svm__shared_hierarchy,SVM lineal calibrado palabra+carácter · Jerárquico clásico con TF-IDF compartido,linear_svm_word_char,shared_hierarchy,validation_expanded,CONTENIDO_SEXUAL,334,0.45209580838323354,183,0.3974481901725188
svm__shared_hierarchy,SVM lineal calibrado palabra+carácter · Jerárquico clásico con TF-IDF compartido,linear_svm_word_char,shared_hierarchy,test_expanded,RACISMO_DISCRIMINACION,256,0.31640625,175,0.2434644139283118
svm__shared_hierarchy,SVM lineal calibrado palabra+carácter · Jerárquico clásico con TF-IDF compartido,linear_svm_word_char,shared_hierarchy,test_expanded,ACOSO_GENERO_IDENTIDAD,263,0.38783269961977185,161,0.22968470149928413
svm__shared_hierarchy,SVM lineal calibrado palabra+carácter · Jerárquico clásico con TF-IDF compartido,linear_svm_word_char,shared_hierarchy,test_expanded,ACOSO_PERSONAL,435,0.27586206896551724,315,0.16590998845682964
svm__shared_hierarchy,SVM lineal calibrado palabra+carácter · Jerárquico clásico con TF-IDF compartido,linear_svm_word_char,shared_hierarchy,test_expanded,AMENAZA_DIRECTA,111,0.17117117117117117,92,0.11501362449834421
svm__shared_hierarchy,SVM lineal calibrado palabra+carácter · Jerárquico clásico con TF-IDF compartido,linear_svm_word_char,shared_hierarchy,test_expanded,CONTENIDO_SEXUAL,335,0.408955223880597,198,0.3892594524931102
svm__cascade,SVM lineal calibrado palabra+carácter · Cascada binaria → multietiqueta,linear_svm_word_char,cascade,validation_expanded,RACISMO_DISCRIMINACION,281,0.3736654804270463,176,0.29893646830522186
svm__cascade,SVM lineal calibrado palabra+carácter · Cascada binaria → multietiqueta,linear_svm_word_char,cascade,validation_expanded,ACOSO_GENERO_IDENTIDAD,304,0.3092105263157895,210,0.21105688239709797
svm__cascade,SVM lineal calibrado palabra+carácter · Cascada binaria → multietiqueta,linear_svm_word_char,cascade,validation_expanded,ACOSO_PERSONAL,464,0.2974137931034483,326,0.1914009816005991
svm__cascade,SVM lineal calibrado palabra+carácter · Cascada binaria → multietiqueta,linear_svm_word_char,cascade,validation_expanded,AMENAZA_DIRECTA,96,0.4479166666666667,53,0.19352997271806122
svm__cascade,SVM lineal calibrado palabra+carácter · Cascada binaria → multietiqueta,linear_svm_word_char,cascade,validation_expanded,CONTENIDO_SEXUAL,334,0.39820359281437123,201,0.3981723287810378
svm__cascade,SVM lineal calibrado palabra+carácter · Cascada binaria → multietiqueta,linear_svm_word_char,cascade,test_expanded,RACISMO_DISCRIMINACION,256,0.32421875,173,0.25452503524555675
svm__cascade,SVM lineal calibrado palabra+carácter · Cascada binaria → multietiqueta,linear_svm_word_char,cascade,test_expanded,ACOSO_GENERO_IDENTIDAD,263,0.34220532319391633,173,0.22806906506563918
svm__cascade,SVM lineal calibrado palabra+carácter · Cascada binaria → multietiqueta,linear_svm_word_char,cascade,test_expanded,ACOSO_PERSONAL,435,0.22988505747126436,335,0.1730895094920764
svm__cascade,SVM lineal calibrado palabra+carácter · Cascada binaria → multietiqueta,linear_svm_word_char,cascade,test_expanded,AMENAZA_DIRECTA,111,0.2072072072072072,88,0.1304702290841386
svm__cascade,SVM lineal calibrado palabra+carácter · Cascada binaria → multietiqueta,linear_svm_word_char,cascade,test_expanded,CONTENIDO_SEXUAL,335,0.34328358208955223,220,0.39005986639036544
