salida,positivos,prevalencia
seguro,65871,0.9429945743203585
acoso_personal,1156,0.016549038695546362
misoginia_acoso_genero,726,0.0103932544056805
racismo_etnico_explicito,660,0.009448413096073182
sexual_cosificacion,647,0.009262307989635378
seguro_ironia_marcada,575,0.008231572015518303
clasismo_racial,430,0.006155784289865861
discriminacion_regional,420,0.006012626515682934
sexual_explicito,403,0.005769258299571959
homofobia_transfobia,258,0.003693470573919517
racismo_encubierto,216,0.003092207922351223
amenaza_directa,210,0.003006313257841467
racismo_linguistico,42,0.0006012626515682934
sexual_no_consensual,34,0.0004867364322219518
