particion,categoria,chunks,positivos,prevalencia,videos_positivos
train,SEGURO,48927,46534,0.9510903999836491,1297
train,RACISMO_DISCRIMINACION,48927,736,0.015042818893453512,202
train,ACOSO_GENERO_IDENTIDAD,48927,665,0.013591677396938296,158
train,ACOSO_PERSONAL,48927,816,0.016677907903611504,267
train,AMENAZA_DIRECTA,48927,131,0.0026774582541337095,91
train,CONTENIDO_SEXUAL,48927,630,0.012876325954994175,101
validation,SEGURO,10633,10113,0.9510956456315245,279
validation,RACISMO_DISCRIMINACION,10633,153,0.014389165804570676,49
validation,ACOSO_GENERO_IDENTIDAD,10633,161,0.015141540487162607,38
validation,ACOSO_PERSONAL,10633,160,0.015047493651838616,54
validation,AMENAZA_DIRECTA,10633,24,0.0022571240477757925,16
validation,CONTENIDO_SEXUAL,10633,149,0.01401297846327471,29
test,SEGURO,10293,9799,0.9520062178179345,279
test,RACISMO_DISCRIMINACION,10293,141,0.0136986301369863,44
test,ACOSO_GENERO_IDENTIDAD,10293,137,0.013310016516078889,29
test,ACOSO_PERSONAL,10293,180,0.017487612940833577,56
test,AMENAZA_DIRECTA,10293,55,0.005343437287476926,21
test,CONTENIDO_SEXUAL,10293,122,0.011852715437676091,24
