,precision,recall,f1-score,support
SEGURO,0.9548949256791389,0.950607204816818,0.9527462411782756,9799.0
RACISMO_DISCRIMINACION,0.03115264797507788,0.07092198581560284,0.04329004329004329,141.0
ACOSO_GENERO_IDENTIDAD,0.040892193308550186,0.08029197080291971,0.054187192118226604,137.0
ACOSO_PERSONAL,0.05314009661835749,0.12222222222222222,0.07407407407407407,180.0
AMENAZA_DIRECTA,0.0,0.0,0.0,55.0
CONTENIDO_SEXUAL,0.059322033898305086,0.11475409836065574,0.0782122905027933,122.0
micro avg,0.852387448840382,0.8982173663024727,0.874702505949881,10434.0
macro avg,0.18990031624657158,0.2231329136697031,0.20041830686056883,10434.0
weighted avg,0.8993494955055142,0.8982173663024727,0.8982521747656402,10434.0
samples avg,0.9084329155736909,0.9095501797337997,0.9086175070436219,10434.0
