,precision,recall,f1-score,support
SEGURO,0.9520062178179345,1.0,0.9754130997411905,9799.0
RACISMO_DISCRIMINACION,0.0,0.0,0.0,141.0
ACOSO_GENERO_IDENTIDAD,0.0,0.0,0.0,137.0
ACOSO_PERSONAL,0.0,0.0,0.0,180.0
AMENAZA_DIRECTA,0.0,0.0,0.0,55.0
CONTENIDO_SEXUAL,0.0,0.0,0.0,122.0
micro avg,0.9520062178179345,0.939141268928503,0.9455299850436628,10434.0
macro avg,0.15866770296965574,0.16666666666666666,0.16256884995686507,10434.0
weighted avg,0.8940683274293598,0.939141268928503,0.9160506962204261,10434.0
samples avg,0.9520062178179345,0.9520062178179345,0.9520062178179345,10434.0
