,precision,recall,f1-score,support
SEGURO,0.9718857142857142,0.8678436575160731,0.9169227451614642,9799.0
RACISMO_DISCRIMINACION,0.06753812636165578,0.2198581560283688,0.10333333333333333,141.0
ACOSO_GENERO_IDENTIDAD,0.10997442455242967,0.31386861313868614,0.16287878787878787,137.0
ACOSO_PERSONAL,0.09203980099502487,0.4111111111111111,0.15040650406504066,180.0
AMENAZA_DIRECTA,0.0,0.0,0.0,55.0
CONTENIDO_SEXUAL,0.07584830339321358,0.3114754098360656,0.12199036918138041,122.0
micro avg,0.7964439556410962,0.8328541307264712,0.8142422112907004,10434.0
macro avg,0.21954772826467303,0.3540261579383841,0.24258862327000108,10434.0
weighted avg,0.9175693064461825,0.8328541307264712,0.8686760944554743,10434.0
samples avg,0.8383432105961981,0.8399397648887593,0.8382789042946431,10434.0
