model_key,modelo,familia,diseno,split,exact_match,jaccard_samples,precision_micro,recall_micro,f1_micro,f1_macro,pr_auc_macro,damage_precision_micro,damage_recall_micro,damage_f1_micro,damage_f1_macro,damage_pr_auc_macro,n,any_damage_prevalence,any_damage_prediction_rate,any_damage_precision,any_damage_recall,any_damage_f1,missed_damage_as_safe,category_false_negatives,minimum_category_recall
svm__flat,SVM lineal calibrado palabra+carácter · Plano,linear_svm_word_char,flat,validation_expanded,0.8956644144144145,0.9013701201201202,0.8921763085399449,0.8916359231319861,0.8919060339841921,0.4341696522298217,0.3813360404855859,0.2865139949109415,0.38066260987153483,0.32694541231126595,0.33078238816457417,0.26021311442355827,17760,0.060698198198198196,0.08868243243243243,0.33206349206349206,0.48515769944341375,0.39427063701470033,555,916,0.3020833333333333
svm__flat,SVM lineal calibrado palabra+carácter · Plano,linear_svm_word_char,flat,test_expanded,0.9002037812747651,0.90481244575267,0.8976899526857779,0.8947018030513176,0.8961933870519588,0.4028960730449889,0.35672775388002725,0.27262313860252,0.34,0.30260648442466626,0.29286513054766594,0.23061594155683846,17666,0.05892675195290388,0.08190875127363297,0.32688320663441606,0.4543707973102786,0.38022508038585207,568,924,0.12612612612612611
svm__flat,SVM lineal calibrado palabra+carácter · Plano,linear_svm_word_char,flat,validation_4a1,0.799962434259955,0.8189957425494615,0.8165648580668343,0.7938864628820961,0.8050659817553804,0.5208746554497006,0.5366752296343335,0.5471331389698737,0.38066260987153483,0.44896331738437,0.44369925066351634,0.45350431105566935,5324,0.2024793388429752,0.14782118707738542,0.6645489199491741,0.48515769944341375,0.560857908847185,555,916,0.3020833333333333
svm__flat,SVM lineal calibrado palabra+carácter · Plano,linear_svm_word_char,flat,test_4a1,0.8,0.8153906742281032,0.8135840788752967,0.7888121791467516,0.8010066510875427,0.47266938690175614,0.5000473692547757,0.5123789020452099,0.34,0.40875912408759124,0.3862324787870523,0.40952987473183733,5290,0.19678638941398865,0.14026465028355387,0.637466307277628,0.4543707973102786,0.5305664610207516,568,924,0.12612612612612611
svm__shared_hierarchy,SVM lineal calibrado palabra+carácter · Jerárquico clásico con TF-IDF compartido,linear_svm_word_char,shared_hierarchy,validation_expanded,0.9077702702702702,0.9139536411411412,0.8902043464158287,0.9067231980617807,0.8983878447311711,0.4312615672163827,0.3723109828376625,0.28104575163398693,0.3779580797836376,0.3223760092272203,0.32579925922613806,0.24920932055613526,17760,0.060698198198198196,0.07043918918918919,0.381294964028777,0.4424860853432282,0.40961786174323744,601,920,0.32894736842105265
svm__shared_hierarchy,SVM lineal calibrado palabra+carácter · Jerárquico clásico con TF-IDF compartido,linear_svm_word_char,shared_hierarchy,test_expanded,0.9101098154647346,0.9154836031548361,0.8954537994419826,0.9080721220527046,0.9017188188629353,0.4000951726897571,0.3552177329377895,0.26455331412103744,0.32785714285714285,0.29282296650717704,0.2882603677993266,0.228666436175176,17666,0.05892675195290388,0.06351183063511831,0.36185383244206776,0.3900096061479347,0.37540453074433655,635,941,0.17117117117117117
svm__shared_hierarchy,SVM lineal calibrado palabra+carácter · Jerárquico clásico con TF-IDF compartido,linear_svm_word_char,shared_hierarchy,validation_4a1,0.8020285499624342,0.8226552717255194,0.8012152777777778,0.8061135371179039,0.803656943839791,0.5121236371252146,0.5101516545317554,0.5067996373526745,0.3779580797836376,0.43299767621998453,0.4323176558003978,0.4210559560463517,5324,0.2024793388429752,0.1252817430503381,0.7151424287856072,0.4424860853432282,0.546704871060172,601,920,0.32894736842105265
svm__shared_hierarchy,SVM lineal calibrado palabra+carácter · Jerárquico clásico con TF-IDF compartido,linear_svm_word_char,shared_hierarchy,test_4a1,0.7977315689981096,0.8156773787019533,0.7945736434108527,0.7983713931669322,0.7964679911699779,0.4597830015069387,0.4795860567932711,0.4636363636363636,0.32785714285714285,0.38410041841004183,0.37038537685029616,0.38441021483317994,5290,0.19678638941398865,0.11417769376181475,0.6721854304635762,0.3900096061479347,0.49361702127659574,635,941,0.17117117117117117
svm__cascade,SVM lineal calibrado palabra+carácter · Cascada binaria → multietiqueta,linear_svm_word_char,cascade,validation_expanded,0.9158220720720721,0.9210069444444445,0.9062773882559159,0.9110181157425252,0.9086415684982289,0.4412544071911763,0.3801122908177033,0.3220338983050847,0.34685598377281945,0.333984375,0.3371885994706171,0.25861932676040356,17760,0.060698198198198196,0.06176801801801802,0.4074749316317229,0.41465677179962895,0.4110344827586207,631,966,0.2974137931034483
svm__cascade,SVM lineal calibrado palabra+carácter · Cascada binaria → multietiqueta,linear_svm_word_char,cascade,test_expanded,0.9165062832559719,0.9210536246650818,0.9087639703441408,0.9112343966712899,0.9099975068561456,0.40274475733681575,0.36061729671774706,0.2946236559139785,0.2935714285714286,0.29409660107334523,0.2909564520182072,0.23524274105555526,17666,0.05892675195290388,0.0558700328314276,0.38095238095238093,0.3611911623439001,0.3708086785009862,665,989,0.2072072072072072
svm__cascade,SVM lineal calibrado palabra+carácter · Cascada binaria → multietiqueta,linear_svm_word_char,cascade,validation_4a1,0.810480841472577,0.8277767342849986,0.8181980056980057,0.8026200873362446,0.8103341856979103,0.5155082353024585,0.5281037426037708,0.5681063122923588,0.34685598377281945,0.43073047858942065,0.43635739882684127,0.4427763689180207,5324,0.2024793388429752,0.114763335837716,0.7315875613747954,0.41465677179962895,0.5293072824156305,631,966,0.2974137931034483
svm__cascade,SVM lineal calibrado palabra+carácter · Cascada binaria → multietiqueta,linear_svm_word_char,cascade,test_4a1,0.8051039697542534,0.8202898550724637,0.8094037110430553,0.7953620109753938,0.8023214285714285,0.45659024878746707,0.4953869924762384,0.5111940298507462,0.2935714285714286,0.37295825771324864,0.36640540837155006,0.40370036542504184,5290,0.19678638941398865,0.10264650283553875,0.6924493554327809,0.3611911623439001,0.47474747474747475,665,989,0.2072072072072072
logistic__flat,Regresión logística calibrada · Plano,logistic_regression,flat,validation_expanded,0.9012387387387387,0.9065831456456456,0.8947744381559426,0.896646660426188,0.8957095709570957,0.4349287979982077,0.3719085296248114,0.2862513426423201,0.3603786342123056,0.31906614785992216,0.3311032065575391,0.24884574387475533,17760,0.060698198198198196,0.08012387387387387,0.3457484188334505,0.45640074211502785,0.39344262295081966,586,946,0.28448275862068967
logistic__flat,Regresión logística calibrada · Plano,logistic_regression,flat,test_expanded,0.907619155439828,0.9118693158232386,0.902973048068908,0.9014701803051317,0.9022209883398112,0.40230685166177255,0.354685563606742,0.28211586901763225,0.32,0.2998661311914324,0.29142649276186744,0.2281619704627226,17666,0.05892675195290388,0.07126684025812295,0.3455123113582208,0.41786743515850144,0.3782608695652174,606,952,0.2072072072072072
logistic__flat,Regresión logística calibrada · Plano,logistic_regression,flat,validation_4a1,0.804282494365139,0.8221105684948661,0.8173507797096253,0.7965065502183406,0.8067940552016986,0.5284274157802913,0.5257194077698594,0.55175983436853,0.3603786342123056,0.4359918200408998,0.45228650769580325,0.44016858402717585,5324,0.2024793388429752,0.13354620586025545,0.6919831223628692,0.45640074211502785,0.5500279485746227,586,946,0.28448275862068967
logistic__flat,Regresión logística calibrada · Plano,logistic_regression,flat,test_4a1,0.8049149338374291,0.8191083805923125,0.8150510204081632,0.79182156133829,0.8032683846637335,0.4712829714441997,0.4979872915837881,0.5227537922987164,0.32,0.39698715108551175,0.3842332594267333,0.4069057598528326,5290,0.19678638941398865,0.12457466918714556,0.6600910470409712,0.41786743515850144,0.5117647058823529,606,952,0.2072072072072072
logistic__shared_hierarchy,Regresión logística calibrada · Jerárquico clásico con TF-IDF compartido,logistic_regression,shared_hierarchy,validation_expanded,0.9101914414414415,0.9163748123123123,0.8911211924821776,0.9085402786190188,0.899746435095564,0.41637874690103044,0.36280482329625147,0.2704,0.34279918864097364,0.3023255813953488,0.3076789838723898,0.23777751798417984,17760,0.060698198198198196,0.06300675675675675,0.38427167113494193,0.39888682745825604,0.39144287664997723,648,972,0.27155172413793105
logistic__shared_hierarchy,Regresión logística calibrada · Jerárquico clásico con TF-IDF compartido,logistic_regression,shared_hierarchy,test_expanded,0.9150911355145477,0.9202139703385034,0.8998631261976457,0.9118446601941748,0.905814273904657,0.3845866274811558,0.3500597956104545,0.26540880503144654,0.30142857142857143,0.2822742474916388,0.2691435926170266,0.22249530351605512,17666,0.05892675195290388,0.05609645647005548,0.3834510595358224,0.36503362151777136,0.37401574803149606,661,978,0.14414414414414414
logistic__shared_hierarchy,Regresión logística calibrada · Jerárquico clásico con TF-IDF compartido,logistic_regression,shared_hierarchy,validation_4a1,0.796205860255447,0.8168325820185324,0.7940972222222222,0.7989519650655021,0.7965171963430562,0.4931005386764751,0.49539717042127784,0.4851674641148325,0.34279918864097364,0.401743264659271,0.410178407822327,0.4032786500248434,5324,0.2024793388429752,0.11438767843726522,0.7060755336617406,0.39888682745825604,0.5097806757557795,648,972,0.27155172413793105
logistic__shared_hierarchy,Regresión logística calibrada · Jerárquico clásico con TF-IDF compartido,logistic_regression,shared_hierarchy,test_4a1,0.8011342155009452,0.8182419659735349,0.7966071744124403,0.7980173482032218,0.7973116377785638,0.44095509142741934,0.4679923626717093,0.46271929824561403,0.30142857142857143,0.36505190311418684,0.3474653627142371,0.3704718150334559,5290,0.19678638941398865,0.10264650283553875,0.6998158379373849,0.36503362151777136,0.4797979797979798,661,978,0.14414414414414414
logistic__cascade,Regresión logística calibrada · Cascada binaria → multietiqueta,logistic_regression,cascade,validation_expanded,0.9119369369369369,0.9167511261261261,0.902681068041011,0.9065580089202137,0.9046153846153846,0.432618695253085,0.3740632404232664,0.3028083028083028,0.33536173089925625,0.3182547321142124,0.3272366565793382,0.2513244785494762,17760,0.060698198198198196,0.06525900900900901,0.3839516824849008,0.41280148423005564,0.3978542691104157,633,983,0.26973684210526316
logistic__cascade,Regresión logística calibrada · Cascada binaria → multietiqueta,logistic_regression,cascade,test_expanded,0.9136759877731235,0.9181195516811956,0.9057690178274831,0.907628294036061,0.9066977027738521,0.3842183610553993,0.35652129139339445,0.2744413407821229,0.2807142857142857,0.2775423728813559,0.26900670324091913,0.23032051868244152,17666,0.05892675195290388,0.05864372240461904,0.36486486486486486,0.3631123919308357,0.36398651901781415,663,1007,0.13513513513513514
logistic__cascade,Regresión logística calibrada · Cascada binaria → multietiqueta,logistic_regression,cascade,validation_4a1,0.8082268970698723,0.8242862509391435,0.8161042670951616,0.7984279475982533,0.8071693448702101,0.5030142184951844,0.5212094076639225,0.555431131019037,0.33536173089925625,0.418212478920742,0.42157551651631187,0.43441135529637914,5324,0.2024793388429752,0.11570247933884298,0.7224025974025974,0.41280148423005564,0.525383707201889,633,983,0.26973684210526316
logistic__cascade,Regresión logística calibrada · Cascada binaria → multietiqueta,logistic_regression,cascade,test_4a1,0.8030245746691872,0.8178638941398866,0.806900289017341,0.7907594264471588,0.7987483236477425,0.4327616127764351,0.4857636810530271,0.4918648310387985,0.2807142857142857,0.35743519781718963,0.337965170586563,0.39204859182829893,5290,0.19678638941398865,0.10453686200378072,0.6835443037974683,0.3631123919308357,0.4742785445420326,663,1007,0.13513513513513514
fasttext__flat,fastText supervisado OVA · Plano,fasttext_supervised_ova,flat,validation_expanded,0.9171734234234235,0.9204617117117116,0.9114715978296977,0.9065029458730246,0.9089804820141899,0.3663697349443688,0.30479807310119494,0.27957931638913236,0.21568627450980393,0.2435114503816794,0.24747036407471795,0.17027068134938755,17760,0.060698198198198196,0.047240990990990994,0.35876042908224076,0.2792207792207792,0.3140323422013563,777,1160,0.18092105263157895
fasttext__flat,fastText supervisado OVA · Plano,fasttext_supervised_ova,flat,test_expanded,0.9202422732933319,0.923387675006604,0.9167318217357311,0.9106796116504854,0.9136956945256185,0.3553388678234142,0.3023305085880272,0.2872340425531915,0.21214285714285713,0.24404272801972063,0.23393567383876426,0.16718916818797222,17666,0.05892675195290388,0.04494509226763274,0.3614609571788413,0.2756964457252642,0.3128065395095368,754,1103,0.13513513513513514
fasttext__flat,fastText supervisado OVA · Plano,fasttext_supervised_ova,flat,validation_4a1,0.7995867768595041,0.8105559729526671,0.8051971651826276,0.7739737991266376,0.7892768079800498,0.40615014522994325,0.4201894671941763,0.5195439739413681,0.21568627450980393,0.30482560917343526,0.30732543973843873,0.32069109293912634,5324,0.2024793388429752,0.08170548459804658,0.6919540229885057,0.2792207792207792,0.39788499669530736,777,1160,0.18092105263157895
fasttext__flat,fastText supervisado OVA · Plano,fasttext_supervised_ova,flat,test_4a1,0.8043478260869565,0.8148519218651543,0.8092792958004768,0.7812002124269782,0.794991893352549,0.3882520792554213,0.40870805286030115,0.5094339622641509,0.21214285714285713,0.29954614220877457,0.28535638259416873,0.3062480098775229,5290,0.19678638941398865,0.07939508506616257,0.6833333333333333,0.2756964457252642,0.3928815879534565,754,1103,0.13513513513513514
