cabeza,salida,iteraciones,alcanzo_max_iter
categoria,seguro,11,False
categoria,seguro_ironia_marcada,8,False
categoria,racismo_etnico_explicito,8,False
categoria,racismo_linguistico,9,False
categoria,clasismo_racial,8,False
categoria,discriminacion_regional,8,False
categoria,racismo_encubierto,8,False
categoria,misoginia_acoso_genero,8,False
categoria,homofobia_transfobia,8,False
categoria,acoso_personal,11,False
categoria,amenaza_directa,8,False
categoria,sexual_explicito,8,False
categoria,sexual_cosificacion,8,False
categoria,sexual_no_consensual,9,False
flag_transversal,ironia_ambigua,8,False
flag_transversal,humor_encubridor,8,False
flag_transversal,contexto_necesario,8,False
