,precision,recall,f1-score,support
seguro,0.9572079582082916,0.9417167851284856,0.9493991842134274,9145.0
seguro_ironia_marcada,0.06179775280898876,0.12222222222222222,0.08208955223880597,90.0
racismo_etnico_explicito,0.5568181818181818,0.4016393442622951,0.4666666666666667,122.0
racismo_linguistico,0.0,0.0,0.0,6.0
clasismo_racial,0.5,0.12790697674418605,0.2037037037037037,86.0
discriminacion_regional,0.14285714285714285,0.22388059701492538,0.1744186046511628,67.0
racismo_encubierto,0.5454545454545454,0.13953488372093023,0.2222222222222222,43.0
misoginia_acoso_genero,0.3026315789473684,0.2875,0.2948717948717949,80.0
homofobia_transfobia,0.625,0.2631578947368421,0.37037037037037035,19.0
acoso_personal,0.22868217054263565,0.2565217391304348,0.24180327868852458,230.0
amenaza_directa,0.1875,0.0625,0.09375,48.0
sexual_explicito,0.3181818181818182,0.17073170731707318,0.2222222222222222,41.0
sexual_cosificacion,0.15294117647058825,0.4126984126984127,0.22317596566523606,63.0
sexual_no_consensual,0.0,0.0,0.0,2.0
micro avg,0.887046527987137,0.879008165704043,0.883009053168609,10042.0
macro avg,0.3270765946635401,0.24357218306970055,0.25319239753672407,10042.0
weighted avg,0.8985809143576104,0.879008165704043,0.8862029262024976,10042.0
samples avg,0.8976190476190476,0.8969875405359276,0.8964725818642868,10042.0
