cabeza,salida,umbral
categoria,seguro,0.1
categoria,seguro_ironia_marcada,0.5750000000000001
categoria,racismo_etnico_explicito,0.65
categoria,racismo_linguistico,0.5
categoria,clasismo_racial,0.75
categoria,discriminacion_regional,0.475
categoria,racismo_encubierto,0.55
categoria,misoginia_acoso_genero,0.775
categoria,homofobia_transfobia,0.75
categoria,acoso_personal,0.65
categoria,amenaza_directa,0.5750000000000001
categoria,sexual_explicito,0.7000000000000001
categoria,sexual_cosificacion,0.5750000000000001
categoria,sexual_no_consensual,0.5
flag_transversal,ironia_ambigua,0.6
flag_transversal,humor_encubridor,0.725
flag_transversal,contexto_necesario,0.475
