etiqueta_fina,objetivo_grueso
homofobia_transfobia,ACOSO_GENERO_IDENTIDAD
misoginia_acoso_genero,ACOSO_GENERO_IDENTIDAD
acoso_personal,ACOSO_PERSONAL
amenaza_directa,AMENAZA_DIRECTA
sexual_cosificacion,CONTENIDO_SEXUAL
sexual_explicito,CONTENIDO_SEXUAL
sexual_no_consensual,CONTENIDO_SEXUAL
clasismo_racial,RACISMO_DISCRIMINACION
discriminacion_regional,RACISMO_DISCRIMINACION
racismo_encubierto,RACISMO_DISCRIMINACION
racismo_etnico_explicito,RACISMO_DISCRIMINACION
racismo_linguistico,RACISMO_DISCRIMINACION
seguro,SEGURO
seguro_ironia_marcada,SEGURO
