,precision,recall,f1-score,support
SEGURO,0.9685696619950536,0.9591795081130727,0.9638517151207506,9799.0
RACISMO_DISCRIMINACION,0.39325842696629215,0.24822695035460993,0.30434782608695654,141.0
ACOSO_GENERO_IDENTIDAD,0.3067484662576687,0.36496350364963503,0.3333333333333333,137.0
ACOSO_PERSONAL,0.20853080568720378,0.24444444444444444,0.22506393861892582,180.0
AMENAZA_DIRECTA,0.11409395973154363,0.3090909090909091,0.16666666666666666,55.0
CONTENIDO_SEXUAL,0.543859649122807,0.2540983606557377,0.3463687150837989,122.0
micro avg,0.9231659115010122,0.9177688326624497,0.9204594607583986,10434.0
macro avg,0.42251016162676147,0.39666727938473484,0.3899386991517387,10434.0
weighted avg,0.9295236425120753,0.9177688326624497,0.9224935619581618,10434.0
samples avg,0.9277664432138346,0.9265034489458855,0.9266394637132032,10434.0
