,precision,recall,f1-score,support
SEGURO,0.9697375193000515,0.9614246351668537,0.96556318540535,9799.0
RACISMO_DISCRIMINACION,0.2275449101796407,0.2695035460992908,0.24675324675324675,141.0
ACOSO_GENERO_IDENTIDAD,0.33544303797468356,0.38686131386861317,0.3593220338983051,137.0
ACOSO_PERSONAL,0.23195876288659795,0.25,0.24064171122994651,180.0
AMENAZA_DIRECTA,0.14285714285714285,0.14545454545454545,0.14414414414414414,55.0
CONTENIDO_SEXUAL,0.2849162011173184,0.4180327868852459,0.3388704318936877,122.0
micro avg,0.9185213487439106,0.9216024535173472,0.9200593216284744,10434.0
macro avg,0.36540959571923914,0.40521280457909153,0.3825491255541134,10434.0
weighted avg,0.9262858900586649,0.9216024535173472,0.9237261461437273,10434.0
samples avg,0.9300673596942906,0.930162893876097,0.9295707207394761,10434.0
