video_id,url,title,channel_title,channel_id,duration,discovery_type,discovery_source,source_rank,target_category,selection_reason,quota
NEe_yi5dW4M,https://www.youtube.com/watch?v=NEe_yi5dW4M,Joven madre denuncia que su expareja un policía en actividad la amenaza de muerte,Buenos Días Perú,UCFnOwPrJ-Skrzk_GPNBV5tg,495.0,targeted_search,agresión amenazas mujer Perú,1,AMENAZA_DIRECTA,consulta explícita de una categoría minoritaria,100
ksc7S1oS5Aw,https://www.youtube.com/watch?v=ksc7S1oS5Aw,Joven arrastrada por su pareja solicita garantías tras recibir amenazas,Buenos Días Perú,UCFnOwPrJ-Skrzk_GPNBV5tg,157.0,targeted_search,agresión amenazas mujer Perú,2,AMENAZA_DIRECTA,consulta explícita de una categoría minoritaria,100
bgBCrGB4ch8,https://www.youtube.com/watch?v=bgBCrGB4ch8,Andrés Wiese denuncia agresión y amenazas de mujer,TVPerú Noticias,UCkZCoc42IipR1ucqJmIehsA,140.0,targeted_search,agresión amenazas mujer Perú,3,AMENAZA_DIRECTA,consulta explícita de una categoría minoritaria,100
Uq_vtERca5U,https://www.youtube.com/watch?v=Uq_vtERca5U,Mujer denuncia agresión y amenazas,Canal Capital,UCeSx6aU8UGIIHxGCQPbYY_A,101.0,targeted_search,agresión amenazas mujer Perú,4,AMENAZA_DIRECTA,consulta explícita de una categoría minoritaria,100
J1M6deT_RSw,https://www.youtube.com/watch?v=J1M6deT_RSw,"Woman threatened and brutally attacked, aggressor released",DÍA D,UCmrzeYkbupPuvrXH8roR__w,947.0,targeted_search,agresión amenazas mujer Perú,5,AMENAZA_DIRECTA,consulta explícita de una categoría minoritaria,100
h7qCDmC4KR0,https://www.youtube.com/watch?v=h7qCDmC4KR0,Woman fears for her life after years of threats and attacks from her ex-partner,ATV Noticias,UCYG5uXS3xdsoaXIxum1pAEw,631.0,targeted_search,agresión amenazas mujer Perú,6,AMENAZA_DIRECTA,consulta explícita de una categoría minoritaria,100
4vWZQeju-fM,https://www.youtube.com/watch?v=4vWZQeju-fM,Isabel Cortez sufrió agresión fue amenazada y recibió ayuda del MIMP | Edición Mediodía (HOY),América Noticias,UCPhm2I2wk4vqjENwhn3px8A,132.0,targeted_search,agresión amenazas mujer Perú,7,AMENAZA_DIRECTA,consulta explícita de una categoría minoritaria,100
7zASdiUlFjs,https://www.youtube.com/watch?v=7zASdiUlFjs,"🟠🔵#PuntoFinal The problem of aggression involving the Minister of Women, Claudia Dávila",Latina Televisión,UC3rDtLrcgr3JS3_3JOW4BAw,531.0,targeted_search,agresión amenazas mujer Perú,8,AMENAZA_DIRECTA,consulta explícita de una categoría minoritaria,100
dbMP0-bTWZI,https://www.youtube.com/watch?v=dbMP0-bTWZI,🔴🔵Minister of Women's Affairs reports being a victim of assault and blackmail by her brother-in-law,Exitosa Noticias,UCxgO_rak_BKZP8VNVmYqbWg,1541.0,targeted_search,agresión amenazas mujer Perú,9,AMENAZA_DIRECTA,consulta explícita de una categoría minoritaria,100
tfseAqnP6y0,https://www.youtube.com/watch?v=tfseAqnP6y0,Fiscal explica caso de agresión a mujer en el Rímac,Ministerio Público | República del Perú,UC91qATrOkn7FLB4AfCboKhg,100.0,targeted_search,agresión amenazas mujer Perú,10,AMENAZA_DIRECTA,consulta explícita de una categoría minoritaria,100
ZhiCbww0ObY,https://www.youtube.com/watch?v=ZhiCbww0ObY,¿Cómo solicitar una medida de protección ante agresiones y amenazas?,RPP Noticias,UC5j8-2FT0ZMMBkmK72R4aeA,1019.0,targeted_search,agresión amenazas mujer Perú,11,AMENAZA_DIRECTA,consulta explícita de una categoría minoritaria,100
ZrOosV9Dr_o,https://www.youtube.com/watch?v=ZrOosV9Dr_o,Familia de mujer amenazada enfrentó al agresor,Nunca MAS,UCFqwxsa2Wp6Y5FkUAcGShGA,538.0,targeted_search,agresión amenazas mujer Perú,12,AMENAZA_DIRECTA,consulta explícita de una categoría minoritaria,100
iqgX51kD3iI,https://www.youtube.com/watch?v=iqgX51kD3iI,Unwanted pregnancies and violence threaten flood victims in Peru,AGENCIA EFE,UCvJS-YNyaWyOucx8bGrHVvw,78.0,targeted_search,agresión amenazas mujer Perú,13,AMENAZA_DIRECTA,consulta explícita de una categoría minoritaria,100
TDFRNhOCwao,https://www.youtube.com/watch?v=TDFRNhOCwao,Familia y justicia: ¿Cómo denunciar un hecho de violencia psicológica en el Perú?,RPP Noticias,UC5j8-2FT0ZMMBkmK72R4aeA,639.0,targeted_search,agresión amenazas mujer Perú,14,AMENAZA_DIRECTA,consulta explícita de una categoría minoritaria,100
thyqrKr9HR4,https://www.youtube.com/watch?v=thyqrKr9HR4,"Mujer sufre agresiones de su expareja: ""Tengo que regresar con él, nadie me quiere ayudar""",Latina Noticias,UCpSJ5fGhmAME9Kx2D3ZvN3Q,1161.0,targeted_search,agresión amenazas mujer Perú,15,AMENAZA_DIRECTA,consulta explícita de una categoría minoritaria,100
NXVvHvGqGv4,https://www.youtube.com/watch?v=NXVvHvGqGv4,El sujeto que amenaza a su expareja y avala los feminicidios.,Nunca MAS,UCFqwxsa2Wp6Y5FkUAcGShGA,496.0,targeted_search,agresión amenazas mujer Perú,16,AMENAZA_DIRECTA,consulta explícita de una categoría minoritaria,100
BTHrwmn4XOM,https://www.youtube.com/watch?v=BTHrwmn4XOM,Acosada y bajo amenaza: Abogada vive en carne propia la pesadilla de ser una mujer maltratada,DÍA D,UCmrzeYkbupPuvrXH8roR__w,1106.0,targeted_search,agresión amenazas mujer Perú,17,AMENAZA_DIRECTA,consulta explícita de una categoría minoritaria,100
fFOxvLe2BMU,https://www.youtube.com/watch?v=fFOxvLe2BMU,Miraflores: amenazan de muerte a mujer trans y policías rechazan su denuncia,lamula externos (la mula),UCY6bK9tiSKBgZsxB6fBYXbA,190.0,targeted_search,agresión amenazas mujer Perú,18,AMENAZA_DIRECTA,consulta explícita de una categoría minoritaria,100
