selection_order,video_id,url,title,channel_title,channel_id,duration,discovery_type,discovery_source,source_rank,target_category,selection_reason,quota,round_robin,batch_id,selected_at
1,NEe_yi5dW4M,https://www.youtube.com/watch?v=NEe_yi5dW4M,Joven madre denuncia que su expareja un policía en actividad la amenaza de muerte,Buenos Días Perú,UCFnOwPrJ-Skrzk_GPNBV5tg,495.0,targeted_search,agresión amenazas mujer Perú,1,AMENAZA_DIRECTA,consulta explícita de una categoría minoritaria,100,1,ampliacion_amenaza_20260727_lote3,2026-07-27T08:51:03-05:00
2,yo277La4DbM,https://www.youtube.com/watch?v=yo277La4DbM,Extortionist caught while charging garage owner a fee | Primera Edición | News Peru,América Noticias,UCPhm2I2wk4vqjENwhn3px8A,168.0,targeted_search,amenaza cobrador de cupos Perú,1,AMENAZA_DIRECTA,consulta explícita de una categoría minoritaria,100,1,ampliacion_amenaza_20260727_lote3,2026-07-27T08:51:03-05:00
3,ERWK8uN8ZR0,https://www.youtube.com/watch?v=ERWK8uN8ZR0,El drama de los artistas bajo la extorsión: Amenazas y muertes en los conciertos de cumbia,Latina Noticias,UCpSJ5fGhmAME9Kx2D3ZvN3Q,858.0,targeted_search,amenaza en vivo televisión peruana,1,AMENAZA_DIRECTA,consulta explícita de una categoría minoritaria,100,1,ampliacion_amenaza_20260727_lote3,2026-07-27T08:51:03-05:00
4,sisC_I_cqcg,https://www.youtube.com/watch?v=sisC_I_cqcg,Consejera Regional recibe amenazas y vive momentos de angustia,Cosmos Televisión,UC_ept7M1UXlCfvcUrK49Ziw,180.0,targeted_search,amenaza redes sociales denuncia Perú,1,AMENAZA_DIRECTA,consulta explícita de una categoría minoritaria,100,1,ampliacion_amenaza_20260727_lote3,2026-07-27T08:51:03-05:00
5,UggzZoZi55Q,https://www.youtube.com/watch?v=UggzZoZi55Q,Amenazan a candidatos presidenciales en Perú,tejemedios,UCOSCC1ngjlTfZOPvjXd6PeQ,164.0,targeted_search,amenazan candidato político Perú,1,AMENAZA_DIRECTA,consulta explícita de una categoría minoritaria,100,1,ampliacion_amenaza_20260727_lote3,2026-07-27T08:51:03-05:00
6,YsFuYBSyKGI,https://www.youtube.com/watch?v=YsFuYBSyKGI,"Rafael Lopez Aliaga, amenazó de muerte al periodista Gustavo Gorriti",ElObjetivo.p,UCcq42SRWicxaXcqqaFGlOjQ,64.0,targeted_search,amenazan periodista alcalde Perú,1,AMENAZA_DIRECTA,consulta explícita de una categoría minoritaria,100,1,ampliacion_amenaza_20260727_lote3,2026-07-27T08:51:03-05:00
7,8vUcavNdUpM,https://www.youtube.com/watch?v=8vUcavNdUpM,Apagaron sus motores: Extorsionadores amenazan a transportistas tras cobro de cupos,Latina Noticias,UCpSJ5fGhmAME9Kx2D3ZvN3Q,184.0,targeted_search,amenazan transportistas extorsión Perú,1,AMENAZA_DIRECTA,consulta explícita de una categoría minoritaria,100,1,ampliacion_amenaza_20260727_lote3,2026-07-27T08:51:03-05:00
8,6YybjvVOZYc,https://www.youtube.com/watch?v=6YybjvVOZYc,🔴🔵 Extortionists threaten school in S.M.P. and the institution is forced to suspend classes,Exitosa Noticias,UCxgO_rak_BKZP8VNVmYqbWg,165.0,targeted_search,amenazas colegio extorsión Perú,1,AMENAZA_DIRECTA,consulta explícita de una categoría minoritaria,100,1,ampliacion_amenaza_20260727_lote3,2026-07-27T08:51:03-05:00
9,ixW_1h4Z-kQ,https://www.youtube.com/watch?v=ixW_1h4Z-kQ,Trujillo: empresario asesinado venía recibiendo amenazas de extorsión,Cosmos Televisión,UC_ept7M1UXlCfvcUrK49Ziw,132.0,targeted_search,sicario amenaza empresario Perú,1,AMENAZA_DIRECTA,consulta explícita de una categoría minoritaria,100,1,ampliacion_amenaza_20260727_lote3,2026-07-27T08:51:03-05:00
10,rMYZTEvWs6o,https://www.youtube.com/watch?v=rMYZTEvWs6o,"Menor que estaría secuestrada envía audio a su madre: “no me sigas buscando, no voy a volver”",Buenos Días Perú,UCFnOwPrJ-Skrzk_GPNBV5tg,199.0,targeted_search,te voy a matar audio denuncia Perú,1,AMENAZA_DIRECTA,consulta explícita de una categoría minoritaria,100,1,ampliacion_amenaza_20260727_lote3,2026-07-27T08:51:03-05:00
