selection_order,video_id,url,title,channel_title,channel_id,duration,discovery_type,discovery_source,source_rank,target_category,selection_reason,quota,round_robin,batch_id,selected_at,reason
2,i_1UpBKmzw0,https://www.youtube.com/watch?v=i_1UpBKmzw0,HABLANDO HUEVADAS - Trailer [SEÑORA SIN DIENTES VIENE AL SHOW],Hablando Huevadas,,77.0,high_yield_channel,Hablando Huevadas,34,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260726,2026-07-26T17:54:03-05:00,sin subtítulo español utilizable
3,KTfK2FniMLs,https://www.youtube.com/watch?v=KTfK2FniMLs,HABLANDO HUEVADAS - Trailer [PROGRAMA NEGRO Y OSCURO],Hablando Huevadas,,76.0,high_yield_channel,Hablando Huevadas,36,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260726,2026-07-26T17:54:03-05:00,DownloadError: ERROR: Unable to download video subtitles for 'es': HTTP Error 429: Too Many Requests
4,7-Zr7B_cfpA,https://www.youtube.com/watch?v=7-Zr7B_cfpA,HABLANDO HUEVADAS - Undécima Temporada [JORGE NO DEJA EN PAZ A RICARDO],Hablando Huevadas,,5066.0,high_yield_channel,Hablando Huevadas,38,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260726,2026-07-26T17:54:03-05:00,DownloadError: ERROR: [youtube] 7-Zr7B_cfpA: Sign in to confirm your age. This video may be inappropriate for some users. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
9,lkcc7s9jUpg,https://www.youtube.com/watch?v=lkcc7s9jUpg,HABLANDO HUEVADAS - Novena Temporada [FUERZA TRUJILLO],Hablando Huevadas,,5406.0,high_yield_channel,Hablando Huevadas,81,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260726,2026-07-26T17:54:03-05:00,sin subtítulo español utilizable
17,OvQX2fgSylM,https://www.youtube.com/watch?v=OvQX2fgSylM,RADIO HUEVADAS ft. PERIQUITO DE TRÉBOL CLAN,Hablando Huevadas,,3816.0,high_yield_channel,Hablando Huevadas,89,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260726,2026-07-26T17:54:03-05:00,DownloadError: ERROR: [youtube] OvQX2fgSylM: This video is available to this channel's members on level: Hablando Huevadas Premium (or any higher level). Join this channel to get access to members-only content and other exclusive perks.
27,lMwv0knNOmo,https://www.youtube.com/watch?v=lMwv0knNOmo,RADIO HUEVADAS FT. JOHANNA SAN MIGUEL,Hablando Huevadas,,4250.0,high_yield_channel,Hablando Huevadas,99,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260726,2026-07-26T17:54:03-05:00,DownloadError: ERROR: [youtube] lMwv0knNOmo: This video is available to this channel's members on level: Hablando Huevadas Premium (or any higher level). Join this channel to get access to members-only content and other exclusive perks.
62,QJrhR2qpQV4,https://www.youtube.com/watch?v=QJrhR2qpQV4,RADIO HUEVADAS FT. DILO NO MÁS,Hablando Huevadas,,3449.0,high_yield_channel,Hablando Huevadas,134,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260726,2026-07-26T17:54:03-05:00,DownloadError: ERROR: [youtube] QJrhR2qpQV4: This video is available to this channel's members on level: Hablando Huevadas Premium (or any higher level). Join this channel to get access to members-only content and other exclusive perks.
65,jty6uEoHEJo,https://www.youtube.com/watch?v=jty6uEoHEJo,RADIO HUEVADAS FT. DEYVIS OROSCO,Hablando Huevadas,,3573.0,high_yield_channel,Hablando Huevadas,137,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260726,2026-07-26T17:54:03-05:00,DownloadError: ERROR: [youtube] jty6uEoHEJo: This video is available to this channel's members on level: Hablando Huevadas Premium (or any higher level). Join this channel to get access to members-only content and other exclusive perks.
76,tO8V-XEM2v0,https://www.youtube.com/watch?v=tO8V-XEM2v0,HE DENUNCIADO A SIDERAL ANTE INDECOPI 😡,Goblinciano,,906.0,high_yield_channel,Goblinciano,61,RACISMO_DISCRIMINACION|ACOSO_PERSONAL|AMENAZA_DIRECTA,9.82 chunks de daño y 0.58 amenazas por video en el corpus base,85,,ampliacion_dano_20260726,2026-07-26T17:54:03-05:00,DownloadError: ERROR: [youtube] tO8V-XEM2v0: Sign in to confirm your age. This video may be inappropriate for some users. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
98,FxLpNmpjPog,https://www.youtube.com/watch?v=FxLpNmpjPog,TIKTOKER SUFRE PORQUE ENFRIAN  ANGELITOS EN BRASIL PIPIPI 😭,Goblinciano,,575.0,high_yield_channel,Goblinciano,102,RACISMO_DISCRIMINACION|ACOSO_PERSONAL|AMENAZA_DIRECTA,9.82 chunks de daño y 0.58 amenazas por video en el corpus base,85,,ampliacion_dano_20260726,2026-07-26T17:54:03-05:00,DownloadError: ERROR: [youtube] FxLpNmpjPog: Sign in to confirm your age. This video may be inappropriate for some users. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
