selection_order,video_id,url,title,channel_title,channel_id,duration,discovery_type,discovery_source,source_rank,target_category,selection_reason,quota,round_robin,batch_id,selected_at
1,gPeqpgRrspo,https://www.youtube.com/watch?v=gPeqpgRrspo,HABLANDO HUEVADAS - Duodécima Temporada [EL INGENIERO Y SU MARIDO],Hablando Huevadas,,5730.0,high_yield_channel,Hablando Huevadas,1,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260726,2026-07-26T17:54:03-05:00
2,i_1UpBKmzw0,https://www.youtube.com/watch?v=i_1UpBKmzw0,HABLANDO HUEVADAS - Trailer [SEÑORA SIN DIENTES VIENE AL SHOW],Hablando Huevadas,,77.0,high_yield_channel,Hablando Huevadas,34,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260726,2026-07-26T17:54:03-05:00
3,KTfK2FniMLs,https://www.youtube.com/watch?v=KTfK2FniMLs,HABLANDO HUEVADAS - Trailer [PROGRAMA NEGRO Y OSCURO],Hablando Huevadas,,76.0,high_yield_channel,Hablando Huevadas,36,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260726,2026-07-26T17:54:03-05:00
4,7-Zr7B_cfpA,https://www.youtube.com/watch?v=7-Zr7B_cfpA,HABLANDO HUEVADAS - Undécima Temporada [JORGE NO DEJA EN PAZ A RICARDO],Hablando Huevadas,,5066.0,high_yield_channel,Hablando Huevadas,38,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260726,2026-07-26T17:54:03-05:00
5,HkZGDgW2pSQ,https://www.youtube.com/watch?v=HkZGDgW2pSQ,HABLANDO HUEVADAS - Novena Temporada [¡LA NOVIA DE RICARDO ES POBRE!],Hablando Huevadas,,5871.0,high_yield_channel,Hablando Huevadas,77,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260726,2026-07-26T17:54:03-05:00
6,acPw-tIoyLs,https://www.youtube.com/watch?v=acPw-tIoyLs,"HABLANDO HUEVADAS - Novena Temporada [RICARDO SE VA A CASAR, ¡NO ES BROMA!]",Hablando Huevadas,,6108.0,high_yield_channel,Hablando Huevadas,78,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260726,2026-07-26T17:54:03-05:00
7,yB3Dj0lkdA0,https://www.youtube.com/watch?v=yB3Dj0lkdA0,HABLANDO HUEVADAS - Novena Temporada [RICARDO QUIERE SER PAPÁ],Hablando Huevadas,,5732.0,high_yield_channel,Hablando Huevadas,79,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260726,2026-07-26T17:54:03-05:00
8,MPAfqXpMImo,https://www.youtube.com/watch?v=MPAfqXpMImo,"HABLANDO HUEVADAS - Novena Temporada [¡ADIÓS COJO, TE QUEREMOS!]",Hablando Huevadas,,5996.0,high_yield_channel,Hablando Huevadas,80,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260726,2026-07-26T17:54:03-05:00
9,lkcc7s9jUpg,https://www.youtube.com/watch?v=lkcc7s9jUpg,HABLANDO HUEVADAS - Novena Temporada [FUERZA TRUJILLO],Hablando Huevadas,,5406.0,high_yield_channel,Hablando Huevadas,81,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260726,2026-07-26T17:54:03-05:00
10,1MGd2qZpGPk,https://www.youtube.com/watch?v=1MGd2qZpGPk,HABLANDO HUEVADAS - Novena Temporada [EL PVT0 GORRAS],Hablando Huevadas,,6694.0,high_yield_channel,Hablando Huevadas,82,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260726,2026-07-26T17:54:03-05:00
11,9liH9GksQok,https://www.youtube.com/watch?v=9liH9GksQok,HABLANDO HUEVADAS - Novena Temporada [EL SEÑOR QUE LLORA PARA REÍR],Hablando Huevadas,,4586.0,high_yield_channel,Hablando Huevadas,83,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260726,2026-07-26T17:54:03-05:00
12,Po0vdJnve_A,https://www.youtube.com/watch?v=Po0vdJnve_A,HABLANDO HUEVADAS - Novena Temporada [BRUJERÍA EN VIVO],Hablando Huevadas,,6151.0,high_yield_channel,Hablando Huevadas,84,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260726,2026-07-26T17:54:03-05:00
13,iHo1pVj5JbY,https://www.youtube.com/watch?v=iHo1pVj5JbY,HABLANDO HUEVADAS - Novena Temporada [OTRO SUICIDA QUE SALVAMOS],Hablando Huevadas,,5943.0,high_yield_channel,Hablando Huevadas,85,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260726,2026-07-26T17:54:03-05:00
14,T3_U8lbS2oc,https://www.youtube.com/watch?v=T3_U8lbS2oc,HABLANDO HUEVADAS - Novena Temporada [JORGE SE COMPRÓ UN EQUIPO DE FÚTBOL],Hablando Huevadas,,6806.0,high_yield_channel,Hablando Huevadas,86,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260726,2026-07-26T17:54:03-05:00
15,PBrCfG1i260,https://www.youtube.com/watch?v=PBrCfG1i260,HABLANDO HUEVADAS - Novena Temporada [LA VOLVIÓ LESBIANA],Hablando Huevadas,,5803.0,high_yield_channel,Hablando Huevadas,87,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260726,2026-07-26T17:54:03-05:00
16,BprT9BdgQJs,https://www.youtube.com/watch?v=BprT9BdgQJs,HABLANDO HUEVADAS - Novena Temporada [LA SEÑORA DE HUAYCÁN],Hablando Huevadas,,5907.0,high_yield_channel,Hablando Huevadas,88,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260726,2026-07-26T17:54:03-05:00
17,OvQX2fgSylM,https://www.youtube.com/watch?v=OvQX2fgSylM,RADIO HUEVADAS ft. PERIQUITO DE TRÉBOL CLAN,Hablando Huevadas,,3816.0,high_yield_channel,Hablando Huevadas,89,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260726,2026-07-26T17:54:03-05:00
