selection_order,video_id,url,title,channel_title,channel_id,duration,discovery_type,discovery_source,source_rank,target_category,selection_reason,quota,round_robin,batch_id,selected_at,reason
2,6uWBBZC2oWM,https://www.youtube.com/watch?v=6uWBBZC2oWM,RADIO HUEVADAS FT. PHILLIP CHU JOY,Hablando Huevadas,,4203.0,high_yield_channel,Hablando Huevadas,144,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00,DownloadError: ERROR: [youtube] 6uWBBZC2oWM: This video is available to this channel's members on level: Hablando Huevadas Premium (or any higher level). Join this channel to get access to members-only content and other exclusive perks.
7,me16dYmSe8A,https://www.youtube.com/watch?v=me16dYmSe8A,RADIO HUEVADAS FT. HENRY SPENCER,Hablando Huevadas,,2927.0,high_yield_channel,Hablando Huevadas,149,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00,DownloadError: ERROR: [youtube] me16dYmSe8A: This video is available to this channel's members on level: Hablando Huevadas Premium (or any higher level). Join this channel to get access to members-only content and other exclusive perks.
11,LvndnVqZCJo,https://www.youtube.com/watch?v=LvndnVqZCJo,RADIO HUEVADAS FT. DR. FIT,Hablando Huevadas,,2844.0,high_yield_channel,Hablando Huevadas,153,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00,DownloadError: ERROR: [youtube] LvndnVqZCJo: This video is available to this channel's members on level: Hablando Huevadas Premium (or any higher level). Join this channel to get access to members-only content and other exclusive perks.
13,daRp1ixwIfc,https://www.youtube.com/watch?v=daRp1ixwIfc,RADIO HUEVADAS FT. CÉSAR RITTER,Hablando Huevadas,,3645.0,high_yield_channel,Hablando Huevadas,155,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00,DownloadError: ERROR: [youtube] daRp1ixwIfc: This video is available to this channel's members on level: Hablando Huevadas Premium (or any higher level). Join this channel to get access to members-only content and other exclusive perks.
12,V8AVjOwEq6A,https://www.youtube.com/watch?v=V8AVjOwEq6A,HABLANDO HUEVADAS - Séptima Temporada [UN CHINO KOREANO QUE ES JAPONÉS],Hablando Huevadas,,5361.0,high_yield_channel,Hablando Huevadas,154,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00,DownloadError: ERROR: [youtube] V8AVjOwEq6A: Sign in to confirm your age. This video may be inappropriate for some users. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
16,Zcni4I2Kr38,https://www.youtube.com/watch?v=Zcni4I2Kr38,RADIO HUEVADAS FT. EVA AYLLÓN,Hablando Huevadas,,3549.0,high_yield_channel,Hablando Huevadas,158,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00,DownloadError: ERROR: [youtube] Zcni4I2Kr38: This video is available to this channel's members on level: Hablando Huevadas Premium (or any higher level). Join this channel to get access to members-only content and other exclusive perks.
21,Aoz84jdIM5c,https://www.youtube.com/watch?v=Aoz84jdIM5c,RADIO HUEVADAS FT. YARITA LIZETH,Hablando Huevadas,,2800.0,high_yield_channel,Hablando Huevadas,163,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00,DownloadError: ERROR: [youtube] Aoz84jdIM5c: This video is available to this channel's members on level: Hablando Huevadas Premium (or any higher level). Join this channel to get access to members-only content and other exclusive perks.
25,pF1t5Ha-rkI,https://www.youtube.com/watch?v=pF1t5Ha-rkI,RADIO HUEVADAS FT. LESLIE SHAW,Hablando Huevadas,,2746.0,high_yield_channel,Hablando Huevadas,167,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00,DownloadError: ERROR: [youtube] pF1t5Ha-rkI: This video is available to this channel's members on level: Hablando Huevadas Premium (or any higher level). Join this channel to get access to members-only content and other exclusive perks.
28,GLt6k_BRhv8,https://www.youtube.com/watch?v=GLt6k_BRhv8,RADIO HUEVADAS FT. SASKIA BERNAOLA,Hablando Huevadas,,3191.0,high_yield_channel,Hablando Huevadas,170,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00,"DownloadError: ERROR: [youtube] GLt6k_BRhv8: Join this channel to get access to members-only content like this video, and other exclusive perks."
30,GBzkcH1mXRs,https://www.youtube.com/watch?v=GBzkcH1mXRs,RADIO HUEVADAS FT. VERÓNICA LINARES,Hablando Huevadas,,4900.0,high_yield_channel,Hablando Huevadas,172,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00,DownloadError: ERROR: [youtube] GBzkcH1mXRs: This video is available to this channel's members on level: Hablando Huevadas Premium (or any higher level). Join this channel to get access to members-only content and other exclusive perks.
