video_id,url,title,channel_title,channel_id,duration,discovery_type,discovery_source,source_rank,target_category,selection_reason,quota
C5SC7LtKIr0,https://www.youtube.com/watch?v=C5SC7LtKIr0,Fuerza Popular's marketing strategy: Copying Sheinbaum and dodging real scrutiny,Arde Troya con Juliana Oxenford,,145.0,high_yield_channel,Arde Troya con Juliana Oxenford,1,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
4zW4yWIUpOY,https://www.youtube.com/watch?v=4zW4yWIUpOY,Beatriz Ramírez puts in their place those who belittle Balcázar #Interview,Arde Troya con Juliana Oxenford,,760.0,high_yield_channel,Arde Troya con Juliana Oxenford,2,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
AwVjrTSoUpg,https://www.youtube.com/watch?v=AwVjrTSoUpg,MESÍAS GUEVARA REMINDS KEIKO THAT SHE DESTROYED THE COUNTRY IN THE LAST DECADE #INTERVIEW,Arde Troya con Juliana Oxenford,,1641.0,high_yield_channel,Arde Troya con Juliana Oxenford,3,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
4rvmPxUZkIc,https://www.youtube.com/watch?v=4rvmPxUZkIc,"TROY IS BURNING WITH JULIANA OXENFORD: PROGRAM OF JULY 24, 2026",Arde Troya con Juliana Oxenford,,5685.0,high_yield_channel,Arde Troya con Juliana Oxenford,4,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
psX7hFivLH0,https://www.youtube.com/watch?v=psX7hFivLH0,A PUBLIC HONOR OR A PRIVATE PLAYTHING FUNDED BY THE POCKETS OF ALL PERUVIANS?,Arde Troya con Juliana Oxenford,,97.0,high_yield_channel,Arde Troya con Juliana Oxenford,5,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
xAOvxTyLDFw,https://www.youtube.com/watch?v=xAOvxTyLDFw,LATEST IPSOS POLL FOR LIMA: BRUCE IN THE LEAD AND RFA IN SECOND PLACE,Arde Troya con Juliana Oxenford,,178.0,high_yield_channel,Arde Troya con Juliana Oxenford,6,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
QKa8LQlNPk8,https://www.youtube.com/watch?v=QKa8LQlNPk8,SENAMHI CONFIRMS THAT THE EL NIÑO PHENOMENON HAS ALREADY BEGUN AND WILL BE EXTRAORDINARY UNTIL 2027,Arde Troya con Juliana Oxenford,,1533.0,high_yield_channel,Arde Troya con Juliana Oxenford,7,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
JvwVIrkS3HM,https://www.youtube.com/watch?v=JvwVIrkS3HM,ARDE TROYA CON JULIANA OXENFORD: PROGRAMA DEL 22 DE JULIO DEL 2026,Arde Troya con Juliana Oxenford,,4507.0,high_yield_channel,Arde Troya con Juliana Oxenford,8,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
HFT6_1pwwno,https://www.youtube.com/watch?v=HFT6_1pwwno,PARTNER IN CHANCELLOR OR FUJIMORI'S HOST #INTERVIEW,Arde Troya con Juliana Oxenford,,176.0,high_yield_channel,Arde Troya con Juliana Oxenford,9,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
YjqMNL1cAAc,https://www.youtube.com/watch?v=YjqMNL1cAAc,FOREIGN MINISTER PAREJA AT THE SERVICE OF FUJIMORISM #INTERVIEW,Arde Troya con Juliana Oxenford,,104.0,high_yield_channel,Arde Troya con Juliana Oxenford,10,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
9KhFQkQn1Nw,https://www.youtube.com/watch?v=9KhFQkQn1Nw,Juliana puts Raúl Noblecilla's legal jargon under the microscope #INTERVIEW,Arde Troya con Juliana Oxenford,,2026.0,high_yield_channel,Arde Troya con Juliana Oxenford,11,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
iWHtsaxQSpI,https://www.youtube.com/watch?v=iWHtsaxQSpI,"ALL HELL BREAKS LOOSE WITH JULIANA OXENFORD: JULY 21, 2026 PROGRAM",Arde Troya con Juliana Oxenford,,4907.0,high_yield_channel,Arde Troya con Juliana Oxenford,12,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
wWy6MfWudZA,https://www.youtube.com/watch?v=wWy6MfWudZA,¿AMOR A LA PATRIA O CÁLCULO AMARRADO AL PRESUPUESTO MUNICIPAL? | ARDE TROYA,Arde Troya con Juliana Oxenford,,178.0,high_yield_channel,Arde Troya con Juliana Oxenford,13,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
NIBThgod2Pw,https://www.youtube.com/watch?v=NIBThgod2Pw,"""NO ME ARREPIENTO DE NO HABER POSTULADO"" | ARDE TROYA #entrevista",Arde Troya con Juliana Oxenford,,2551.0,high_yield_channel,Arde Troya con Juliana Oxenford,14,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
bGsuuBdStR8,https://www.youtube.com/watch?v=bGsuuBdStR8,CAN NIETO LEAD THE OPPOSITION IN CONGRESS? | ALL HELL BURNS OUT,Arde Troya con Juliana Oxenford,,84.0,high_yield_channel,Arde Troya con Juliana Oxenford,15,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
W9yq52CGxTA,https://www.youtube.com/watch?v=W9yq52CGxTA,"TROY BURNS WITH JULIANA OXENFORD: PROGRAM OF JULY 20, 2026",Arde Troya con Juliana Oxenford,,5691.0,high_yield_channel,Arde Troya con Juliana Oxenford,16,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
0tjx86FXDbA,https://www.youtube.com/watch?v=0tjx86FXDbA,CARLOS VIGURIA REVEALS HOW KEIKO'S ADVISORS BECAME DEPUTIES THROUGH THE REVOLVING CHAIR SYSTEM,Arde Troya con Juliana Oxenford,,1991.0,high_yield_channel,Arde Troya con Juliana Oxenford,17,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
qiSnMAAtk7k,https://www.youtube.com/watch?v=qiSnMAAtk7k,DRAWING THE LINE! JOSÉ NIETO SETS THE STRATEGY FOR MINORITIES TO STOP THE ORANGE WAVE,Arde Troya con Juliana Oxenford,,856.0,high_yield_channel,Arde Troya con Juliana Oxenford,18,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
moGz050EXLA,https://www.youtube.com/watch?v=moGz050EXLA,JULIANA BLASTS KEIKO’S VISIT TO BALCÁZAR AND WARNS OF TOTAL TAKEOVER,Arde Troya con Juliana Oxenford,,451.0,high_yield_channel,Arde Troya con Juliana Oxenford,19,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
gvOE7vjrKXk,https://www.youtube.com/watch?v=gvOE7vjrKXk,"ARDE TROYA WITH JULIANA OXENFORD: JULY 17, 2026 SHOW",Arde Troya con Juliana Oxenford,,5505.0,high_yield_channel,Arde Troya con Juliana Oxenford,20,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
Mqlt_wKZuBw,https://www.youtube.com/watch?v=Mqlt_wKZuBw,JULIANA DISMANTLES THE 'PEACE AND LOVE' NARRATIVE IN KEIKO FUJIMORI'S CREDENTIALS SPEECH,Arde Troya con Juliana Oxenford,,1788.0,high_yield_channel,Arde Troya con Juliana Oxenford,21,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
ln2VviZ3rWY,https://www.youtube.com/watch?v=ln2VviZ3rWY,"ROSPIGLIOSI AWARDS JOSÉ JERÍ BEHIND CLOSED DOORS, SNUBBING HIS OWN PARTY",Arde Troya con Juliana Oxenford,,111.0,high_yield_channel,Arde Troya con Juliana Oxenford,22,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
3TKC7gKQP-I,https://www.youtube.com/watch?v=3TKC7gKQP-I,"THE MUNICIPALITY OF LIMA DECORATES THE GUARDIAN OF OUR STABILITY, JULIO VELARDE",Arde Troya con Juliana Oxenford,,225.0,high_yield_channel,Arde Troya con Juliana Oxenford,23,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
Ef3yN481ZLc,https://www.youtube.com/watch?v=Ef3yN481ZLc,"ARDE TROYA WITH JULIANA OXENFORD: JULY 16, 2026 SHOW",Arde Troya con Juliana Oxenford,,4608.0,high_yield_channel,Arde Troya con Juliana Oxenford,24,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
