selection_order,video_id,url,title,channel_title,channel_id,duration,discovery_type,discovery_source,source_rank,target_category,selection_reason,quota,round_robin,batch_id,selected_at
1,jSOLkn7q83Y,https://www.youtube.com/watch?v=jSOLkn7q83Y,HABLANDO HUEVADAS - Duodécima Temporada [LA HISTORIA DE JORGE Y EL GUARDIA],Hablando Huevadas,,5537.0,high_yield_channel,Hablando Huevadas,1,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
2,6uWBBZC2oWM,https://www.youtube.com/watch?v=6uWBBZC2oWM,RADIO HUEVADAS FT. PHILLIP CHU JOY,Hablando Huevadas,,4203.0,high_yield_channel,Hablando Huevadas,144,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
3,Y7Tlxz99ebg,https://www.youtube.com/watch?v=Y7Tlxz99ebg,HABLANDO HUEVADAS - Séptima Temporada [¡POR FIN TENEMOS AUSPICIADOR!],Hablando Huevadas,,5992.0,high_yield_channel,Hablando Huevadas,145,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
4,RvBBiTVp9Sg,https://www.youtube.com/watch?v=RvBBiTVp9Sg,HABLANDO HUEVADAS - Séptima Temporada [¿CÓMO CRÍAS A TUS HIJOS?],Hablando Huevadas,,5301.0,high_yield_channel,Hablando Huevadas,146,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
5,kTe7fV8RRAk,https://www.youtube.com/watch?v=kTe7fV8RRAk,HABLANDO HUEVADAS - Séptima Temporada [SI NO APAGO LA LUZ MI FAMILIA SE MUERE],Hablando Huevadas,,5871.0,high_yield_channel,Hablando Huevadas,147,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
6,73sDXhfbIus,https://www.youtube.com/watch?v=73sDXhfbIus,HABLANDO HUEVADAS - Séptima Temporada [¡MILAGRO! SE LEVANTÓ EL DISCAPACITADO],Hablando Huevadas,,5342.0,high_yield_channel,Hablando Huevadas,148,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
7,me16dYmSe8A,https://www.youtube.com/watch?v=me16dYmSe8A,RADIO HUEVADAS FT. HENRY SPENCER,Hablando Huevadas,,2927.0,high_yield_channel,Hablando Huevadas,149,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
8,1V3rgtAW71c,https://www.youtube.com/watch?v=1V3rgtAW71c,HABLANDO HUEVADAS - Séptima Temporada [VINO AL SHOW UNA SEÑORA BORRACHA],Hablando Huevadas,,5250.0,high_yield_channel,Hablando Huevadas,150,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
9,6oTllXbgRc4,https://www.youtube.com/watch?v=6oTllXbgRc4,HABLANDO HUEVADAS - Séptima Temporada [ME LA HICE CON 12 SOLES],Hablando Huevadas,,5047.0,high_yield_channel,Hablando Huevadas,151,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
10,uqBijAxaT2Y,https://www.youtube.com/watch?v=uqBijAxaT2Y,HABLANDO HUEVADAS - Séptima Temporada [COLORIDO TEST PARA UN DALTÓNICO],Hablando Huevadas,,6338.0,high_yield_channel,Hablando Huevadas,152,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
