video_id,url,title,upload_date,duration,view_count,channel_url,channel_title,categoria_fuente
WakBONBhY0s,https://www.youtube.com/watch?v=WakBONBhY0s,NEW VIDEO: Minibus driver killed by police #LaEncerrona,,1243,80000.0,https://www.youtube.com/user/ocram001,Marco Sifuentes / Ocram,politica_analisis
LWMHsXXiTrA,https://www.youtube.com/watch?v=LWMHsXXiTrA,ALERT: Police violence is on the rise across Peru #LaEncerrona,,1310,91000.0,https://www.youtube.com/user/ocram001,Marco Sifuentes / Ocram,politica_analisis
GDPivrzliEY,https://www.youtube.com/watch?v=GDPivrzliEY,LEGAL THREAT: They want us to delete something that isn't ours #LaEncerrona,,1511,94000.0,https://www.youtube.com/user/ocram001,Marco Sifuentes / Ocram,politica_analisis
feO7751dTI0,https://www.youtube.com/watch?v=feO7751dTI0,ALERT: Congress leaves time bombs for doctors... and territorial limits! #LaEncerrona,,1276,81000.0,https://www.youtube.com/user/ocram001,Marco Sifuentes / Ocram,politica_analisis
PSPAyKLnvUI,https://www.youtube.com/watch?v=PSPAyKLnvUI,VENEZUELA APOCALYPSE: How to help from Peru #LaEncerrona,,1287,84000.0,https://www.youtube.com/user/ocram001,Marco Sifuentes / Ocram,politica_analisis
LEZRcw6IOk8,https://www.youtube.com/watch?v=LEZRcw6IOk8,SCANDAL: Congress raises salaries for Keiko's Inquisition #LaEncerrona,,1340,92000.0,https://www.youtube.com/user/ocram001,Marco Sifuentes / Ocram,politica_analisis
fJYajmPuI_U,https://www.youtube.com/watch?v=fJYajmPuI_U,SCANDAL: Congress sets the stage to kill in protests #LaEncerrona,,1368,91000.0,https://www.youtube.com/user/ocram001,Marco Sifuentes / Ocram,politica_analisis
xIRwtzuHCyA,https://www.youtube.com/watch?v=xIRwtzuHCyA,ALERT: Congress’s final gift: more money for Congress #LaEncerrona,,1228,87000.0,https://www.youtube.com/user/ocram001,Marco Sifuentes / Ocram,politica_analisis
VjkLpWldYHQ,https://www.youtube.com/watch?v=VjkLpWldYHQ,EMPEZÓ LA PERSECUCIÓN: Denuncian a organizadores marcha JP #LaEncerrona,,1298,127000.0,https://www.youtube.com/user/ocram001,Marco Sifuentes / Ocram,politica_analisis
dpDZvUkVl2U,https://www.youtube.com/watch?v=dpDZvUkVl2U,ANOTHER VICTIM OF KEIKO? Prosecutor Juárez Atoche has fallen #LaEncerrona,,1343,97000.0,https://www.youtube.com/user/ocram001,Marco Sifuentes / Ocram,politica_analisis
cCEjyuHnosE,https://www.youtube.com/watch?v=cCEjyuHnosE,ALERT: Fujimorismo changes ELECTION rules #LaEncerrona,,1391,93000.0,https://www.youtube.com/user/ocram001,Marco Sifuentes / Ocram,politica_analisis
15sRm7EmUCY,https://www.youtube.com/watch?v=15sRm7EmUCY,SPECIAL: Why did Roberto Sánchez lose? #LaEncerrona,,1300,108000.0,https://www.youtube.com/user/ocram001,Marco Sifuentes / Ocram,politica_analisis
lawfeggBE0U,https://www.youtube.com/watch?v=lawfeggBE0U,KEIKO SE VA pero el Congreso no quiere irse #LaEncerrona,,1382,132000.0,https://www.youtube.com/user/ocram001,Marco Sifuentes / Ocram,politica_analisis
