chunk_id,stratum,initial_effective_labels,cascade_labels,cascade_confidence,flash_labels,flash_confidence,pro_available,pro_labels,pro_confidence,final_reference_labels,final_event_id,final_reviewer,final_batch_id
-1ckvOBOdu4_e5106c000ea19eae045a,"('ACOSO_AMENAZA', 'deepseek-v4-pro', 'resolved')",ACOSO_AMENAZA,ACOSO_AMENAZA,0.9,ACOSO_AMENAZA,0.85,1,ACOSO_AMENAZA,0.9,SEGURO,9df2fc0a-d7b4-578e-bbb5-7e23278362dd,reviewer-879d60dc246ead2d,
-56bNnYrjIs_311c72d6cf7e85e4e3da,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-56bNnYrjIs_5c6cd629f9004e8d291c,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-56bNnYrjIs_71f07892fd203cf34b34,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-56bNnYrjIs_82c4d2c8fcf9b55e433a,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-56bNnYrjIs_86fa93ad6fe0cd738ebf,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-56bNnYrjIs_c2bb897d4f59d70d8e74,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-56bNnYrjIs_d56538e91372eed3fad9,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-56bNnYrjIs_d5898f47a838e6d5b952,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-56bNnYrjIs_e1fa88ab5e823964ec4d,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-5YuleqzULo_2b035a6e537aebce08d4,"('CONTENIDO_SEXUAL', 'deepseek-v4-pro', 'resolved')",CONTENIDO_SEXUAL,CONTENIDO_SEXUAL,0.8,ATAQUE_POR_GENERO_IDENTIDAD|CONTENIDO_SEXUAL,0.75,1,CONTENIDO_SEXUAL,0.8,CONTENIDO_SEXUAL,,,
-5YuleqzULo_38162d37b5eaabf2281a,"('CONTENIDO_SEXUAL', 'deepseek-v4-pro', 'resolved')",CONTENIDO_SEXUAL,CONTENIDO_SEXUAL,0.8,CONTENIDO_SEXUAL,0.8,1,CONTENIDO_SEXUAL,0.8,CONTENIDO_SEXUAL,,,
-5YuleqzULo_3ce562dee579fc09810f,"('ACOSO_AMENAZA', 'deepseek-v4-pro', 'resolved')",ACOSO_AMENAZA,ACOSO_AMENAZA,0.85,CONTENIDO_SEXUAL,0.65,1,ACOSO_AMENAZA,0.85,ACOSO_AMENAZA,,,
-5YuleqzULo_81a82601ff75b59f87d5,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-5YuleqzULo_85ceb2287f1fb8bf9e45,"('CONTENIDO_SEXUAL', 'deepseek-v4-pro', 'resolved')",CONTENIDO_SEXUAL,CONTENIDO_SEXUAL,0.9,CONTENIDO_SEXUAL,0.8,1,CONTENIDO_SEXUAL,0.9,CONTENIDO_SEXUAL,,,
