"clave","titulo","tipo","doi","url","pdf_local","estado"
"albornoz2018conocer","Conocer para resistir: violencia de género en línea en Perú","techreport","","https://hiperderecho.org/tecnoresistencias/wp-content/uploads/2019/01/violencia_genero_linea_peru_2018.pdf","referencias_y_descargas/albornoz2018conocer__albornoz-flores_2018_violencia-genero-linea-peru.pdf","pdf_oa_validado"
"almeida2022motoso","“Motoso y terruco”: ideologías lingüísticas y racialización en la política peruana","article","10.18800/lexis.202202.002","https://revistas.pucp.edu.pe/index.php/lexis/article/view/26332","referencias_y_descargas/almeida2022motoso__zavala_2022_motoso-terruco.pdf","pdf_oa_validado"
"andersen2021rem","REM: Efficient Semi-Automated Real-Time Moderation of Online Forums","inproceedings","10.18653/v1/2021.acl-demo.17","https://aclanthology.org/2021.acl-demo.17/","referencias_y_descargas/andersen2021rem__andersen_2021_rem-semi-automated-moderation.pdf","pdf_oa_validado"
"aoir2020ethics","Internet Research: Ethical Guidelines 3.0","techreport","","https://aoir.org/reports/ethics3.pdf","referencias_y_descargas/aoir2020ethics__aoir_2020_internet-research-ethics.pdf","pdf_oa_validado"
"artstein2008agreement","Inter-Coder Agreement for Computational Linguistics","article","10.1162/coli.07-034-R2","https://doi.org/10.1162/coli.07-034-R2","referencias_y_descargas/artstein2008agreement__artstein_2008_inter-coder-agreement.pdf","pdf_oa_validado"
"banko2020taxonomy","A Unified Taxonomy of Harmful Content","inproceedings","10.18653/v1/2020.alw-1.16","https://aclanthology.org/2020.alw-1.16/","referencias_y_descargas/banko2020taxonomy__banko_2020_harmful-content-typology.pdf","pdf_oa_validado"
"basile2019hateval","SemEval-2019 Task 5: Multilingual Detection of Hate Speech Against Immigrants and Women in Twitter","inproceedings","10.18653/v1/S19-2007","https://aclanthology.org/S19-2007/","referencias_y_descargas/basile2019hateval__basile_2019_hateval.pdf","pdf_oa_validado"
"bender2018datastatements","Data Statements for Natural Language Processing: Toward Mitigating System Bias and Enabling Better Science","article","10.1162/tacl_a_00041","https://aclanthology.org/Q18-1041/","referencias_y_descargas/bender2018datastatements__bender_2018_data-statements.pdf","pdf_oa_validado"
"bertaglia2021youtube","\BIBforeignlanguageenglishAbusive Language on Social Media Through the Legal Looking Glass","inproceedings","10.18653/v1/2021.woah-1.20","https://aclanthology.org/2021.woah-1.20/","referencias_y_descargas/bertaglia2021youtube__bertaglia_2021_abusive-language-legal.pdf","pdf_oa_validado"
"bourgeade2024context","Humans Need Context, What about Machines? Investigating Conversational Context in Abusive Language Detection","inproceedings","","https://aclanthology.org/2024.lrec-main.740/","referencias_y_descargas/bourgeade2024context__bourgeade_2024_context-abusive-language.pdf","pdf_oa_validado"
"branez2012amixer","La construcción discursiva de las identidades “amixer” y “no-amixer” en el espacio virtual: un caso de racismo cultural justificado a través de la ortografía","misc","","https://tesis.pucp.edu.pe/items/c5a89d9d-2f21-4a82-900b-4bb6121525fb","referencias_y_descargas/branez2012amixer__branez_2012_identidades-amixer.pdf","pdf_oa_validado"
"brodley1999mislabeled","Identifying Mislabeled Training Data","article","10.1613/jair.606","https://doi.org/10.1613/jair.606","referencias_y_descargas/brodley1999mislabeled__brodley_1999_mislabeled-training-data.pdf","pdf_oa_validado"
"brodersen2010balanced","The Balanced Accuracy and Its Posterior Distribution","inproceedings","10.1109/ICPR.2010.764","https://doi.org/10.1109/ICPR.2010.764","","fuente_autor_y_editor_verificada_sin_pdf_local"
"callirgos1993racismo","El racismo: la cuestión del otro (y de uno)","book","","","","fuente_impresa_sin_pdf_oa_localizado"
"caruana1997multitask","Multitask Learning","article","10.1023/A:1007379606734","https://doi.org/10.1023/A:1007379606734","referencias_y_descargas/caruana1997multitask__caruana_1997_multitask-learning.pdf","pdf_oa_validado"
"cawley2010selection","On Over-Fitting in Model Selection and Subsequent Selection Bias in Performance Evaluation","article","","https://www.jmlr.org/papers/v11/cawley10a.html","referencias_y_descargas/cawley2010selection__cawley_2010_model-selection-bias.pdf","pdf_oa_validado"
"chakravarthi2024homotrans","Detection of Homophobia and Transphobia in YouTube Comments","article","10.1007/s41060-023-00400-0","https://link.springer.com/article/10.1007/s41060-023-00400-0","referencias_y_descargas/chakravarthi2024homotrans__chakravarthi_2024_homophobia-transphobia.pdf","pdf_oa_validado"
"choi2024llmeffect","The LLM Effect: Are Humans Truly Using LLMs, or Are They Being Influenced By Them Instead?","inproceedings","10.18653/v1/2024.emnlp-main.1230","https://aclanthology.org/2024.emnlp-main.1230/","referencias_y_descargas/choi2024llmeffect__choi_2024_llm-effect-annotation.pdf","pdf_oa_validado"
"chow1970reject","On Optimum Recognition Error and Reject Tradeoff","article","10.1109/TIT.1970.1054406","https://research.ibm.com/publications/on-optimum-recognition-error-and-reject-tradeoff","","fuente_editorial_sin_pdf_oa_localizado"
"cortes1995svm","Support-Vector Networks","article","10.1007/BF00994018","https://doi.org/10.1007/BF00994018","","pdf_editor_no_recuperado"
"cox1958logistic","The Regression Analysis of Binary Sequences","article","10.1111/j.2517-6161.1958.tb00292.x","https://doi.org/10.1111/j.2517-6161.1958.tb00292.x","","fuente_editorial_sin_pdf_oa_localizado"
"davis2006pr","The Relationship Between Precision-Recall and ROC Curves","inproceedings","10.1145/1143844.1143874","https://doi.org/10.1145/1143844.1143874","referencias_y_descargas/davis2006pr__davis_2006_precision-recall-roc.pdf","pdf_oa_validado"
"deepseek2026v4","DeepSeek V4 Preview Release","misc","","https://api-docs.deepseek.com/news/news260424/","","recurso_web_oficial_sin_pdf"
"deerwester1990lsa","Indexing by Latent Semantic Analysis","article","10.1002/(SICI)1097-4571(199009)41:6<391::AID-ASI1>3.0.CO;2-9","https://www.microsoft.com/en-us/research/publication/indexing-by-latent-semantic-analysis/","","pdf_editor_descarga_bloqueada_403"
"defensoria2021violenciaenlinea","Violencia de género contra las mujeres en línea","techreport","","https://www.defensoria.gob.pe/wp-content/uploads/2021/08/Documento-de-trabajo-01-Violencia-de-g%C3%A9nero-contra-las-mujeres-en-l%C3%ADnea.pdf","referencias_y_descargas/defensoria2021violenciaenlinea__defensoria_2021_violencia-genero-en-linea.pdf","pdf_oa_validado"
"depoix2026transcript","YouTube Transcript API: Python API for Retrieving YouTube Transcripts and Subtitles","misc","","https://github.com/jdepoix/youtube-transcript-api","","repositorio_software_web_sin_pdf"
"devlin2019bert","BERT: Pre-Training of Deep Bidirectional Transformers for Language Understanding","inproceedings","10.18653/v1/N19-1423","https://aclanthology.org/N19-1423/","referencias_y_descargas/devlin2019bert__devlin_2019_bert.pdf","pdf_oa_validado"
"dietterich2000ensemble","Ensemble Methods in Machine Learning","inproceedings","10.1007/3-540-45014-9_1","https://doi.org/10.1007/3-540-45014-9_1","referencias_y_descargas/dietterich2000ensemble__dietterich_2000_ensemble-methods.pdf","pdf_oa_validado"
"dror2018significance","The Hitchhiker's Guide to Testing Statistical Significance in Natural Language Processing","inproceedings","10.18653/v1/P18-1128","https://aclanthology.org/P18-1128/","referencias_y_descargas/dror2018significance__dror_2018_significance-testing-nlp.pdf","pdf_oa_validado"
"efron1979bootstrap","Bootstrap Methods: Another Look at the Jackknife","article","10.1214/aos/1176344552","https://doi.org/10.1214/aos/1176344552","","fuente_editorial_sin_pdf_oa_localizado"
"elkan2001cost","The Foundations of Cost-Sensitive Learning","inproceedings","","https://cseweb.ucsd.edu/~elkan/rescale.pdf","","pdf_autor_verificado_sin_copia_local"
"elsherief2021implicit","Latent Hatred: A Benchmark for Understanding Implicit Hate Speech","inproceedings","10.18653/v1/2021.emnlp-main.29","https://aclanthology.org/2021.emnlp-main.29/","referencias_y_descargas/elsherief2021implicit__elsherief_2021_latent-hatred.pdf","pdf_oa_validado"
"fairstein2024balancing","Class Balancing for Efficient Active Learning in Imbalanced Datasets","inproceedings","10.18653/v1/2024.law-1.8","https://aclanthology.org/2024.law-1.8/","referencias_y_descargas/fairstein2024balancing__fairstein_2024_class-balancing-active-learning.pdf","pdf_oa_validado"
"field2007clusterbootstrap","Bootstrapping Clustered Data","article","10.1111/j.1467-9868.2007.00593.x","https://doi.org/10.1111/j.1467-9868.2007.00593.x","","fuente_editorial_sin_pdf_oa_localizado"
"friedman2001gbm","Greedy Function Approximation: A Gradient Boosting Machine","article","10.1214/aos/1013203451","https://doi.org/10.1214/aos/1013203451","","pdf_editor_no_recuperado"
"geifman2017selective","Selective Classification for Deep Neural Networks","inproceedings","","https://proceedings.neurips.cc/paper/2017/hash/4a8423d5e91fda00bb7e46540e2b0cf1-Abstract.html","referencias_y_descargas/geifman2017selective__geifman_2017_selective-classification.pdf","pdf_oa_validado"
"gorwa2020moderation","Algorithmic Content Moderation: Technical and Political Challenges in the Automation of Platform Governance","article","10.1177/2053951719897945","https://journals.sagepub.com/doi/10.1177/2053951719897945","referencias_y_descargas/gorwa2020moderation__gorwa_2020_algorithmic-content-moderation.pdf","pdf_oa_validado"
"gruber1993ontology","A Translation Approach to Portable Ontology Specifications","article","10.1006/knac.1993.1008","https://doi.org/10.1006/knac.1993.1008","referencias_y_descargas/gruber1993ontology__gruber_1993_portable-ontology-specifications.pdf","pdf_oa_validado"
"grupo4dataset2026","Corpus integrado de moderación textual G4: subtítulos peruanos de YouTube","misc","","https://github.com/lkoc/Trabajo_PLN-MIA-Grupo4/blob/a666332bfba170a455cf62e9504b445c0db71dc8/datos/model_ready/transformer_grueso/dataset_integrado_todas_pasadas.manifest.json","","recurso_datos_versionado_sin_pdf"
"guo2017calibration","On Calibration of Modern Neural Networks","inproceedings","","https://proceedings.mlr.press/v70/guo17a.html","referencias_y_descargas/guo2017calibration__guo_2017_calibration-neural-networks.pdf","pdf_oa_validado"
"harris2020numpy","Array Programming with NumPy","article","10.1038/s41586-020-2649-2","https://doi.org/10.1038/s41586-020-2649-2","referencias_y_descargas/harris2020numpy__harris_2020_numpy.pdf","pdf_oa_validado"
"holm1979multiple","A Simple Sequentially Rejective Multiple Test Procedure","article","10.2307/4615733","https://doi.org/10.2307/4615733","","fuente_editorial_verificada_sin_pdf_local"
"hevner2004dsr","Design Science in Information Systems Research","article","10.2307/25148625","https://aisel.aisnet.org/misq/vol28/iss1/6/","","repositorio_oficial_indica_documento_no_disponible"
"hf2026e5card","Model Card: intfloat/multilingual-e5-small","misc","","https://huggingface.co/intfloat/multilingual-e5-small/blob/614241f622f53c4eeff9890bdc4f31cfecc418b3/README.md","","ficha_modelo_web_sin_pdf"
"hf2026minilmcard","Model Card: sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2","misc","","https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2/blob/e8f8c211226b894fcb81acc59f3b34ba3efd5f42/README.md","","ficha_modelo_web_sin_pdf"
"hf2026qwen06bcard","Model Card: Qwen/Qwen3-0.6B-Base","misc","","https://huggingface.co/Qwen/Qwen3-0.6B-Base/blob/da87bfb608c14b7cf20ba1ce41287e8de496c0cd/README.md","","ficha_modelo_web_sin_pdf"
