metric,reference,challenger,difference_challenger_minus_reference,ci_low,ci_high,p_value_raw,p_value_holm,replicates,grouping,parallel_workers
balanced_accuracy_binary_any_damage_oof,ensemble_soft_mean,cascade-2b78ad8fe71f,-0.03182059009766686,-0.04137731016681161,-0.022567526093590164,0.0009995002498750624,0.031984007996002,2000,video_id,2
balanced_accuracy_binary_any_damage_oof,ensemble_soft_mean,cascade_v2-af78eba77883,-0.023022747964046686,-0.031388965688221956,-0.014535234630819857,0.0009995002498750624,0.031984007996002,2000,video_id,2
balanced_accuracy_binary_any_damage_oof,ensemble_soft_mean,qwen_lora-context256_from128-009a589e6574,-0.010061546830013809,-0.017696831243697097,-0.00198917798729494,0.01899050474762619,0.05397301349325337,2000,video_id,2
balanced_accuracy_binary_any_damage_oof,ensemble_soft_mean,qwen_lora-4aa5ce04df05,-0.008474478862630216,-0.014820990147439128,-0.0024153560504268433,0.0079960019990005,0.039980009995002494,2000,video_id,2
balanced_accuracy_binary_any_damage_oof,ensemble_soft_mean,qwen_lora-context256_from128-1353d08f2963,-0.010275219779757589,-0.01759305586362246,-0.002488208043743134,0.01199400299850075,0.047976011994003,2000,video_id,2
balanced_accuracy_binary_any_damage_oof,ensemble_soft_mean,multitask-4bec36285220,-0.027562824648616154,-0.036509738096309904,-0.01967753368889942,0.0009995002498750624,0.031984007996002,2000,video_id,2
balanced_accuracy_binary_any_damage_oof,ensemble_soft_mean,multitask-5a9b00f79262,-0.02812631191328945,-0.03774915077634257,-0.019377883627635935,0.0009995002498750624,0.031984007996002,2000,video_id,2
balanced_accuracy_binary_any_damage_oof,ensemble_soft_mean,qwen_structured-lora03_05_structured_p005-54868bbad1a7,-0.021189314545102117,-0.027821924194975055,-0.014774679616291345,0.0009995002498750624,0.031984007996002,2000,video_id,2
balanced_accuracy_binary_any_damage_oof,ensemble_soft_mean,qwen_structured-lora03_05_structured_p000-3978be2d2f44,-0.022078081790661664,-0.02903161563640188,-0.01546098888944252,0.0009995002498750624,0.031984007996002,2000,video_id,2
balanced_accuracy_binary_any_damage_oof,ensemble_soft_mean,qwen_structured-lora03_05_structured_p002-255b54f1e028,-0.022816300873109343,-0.02947297475094254,-0.016280975006605775,0.0009995002498750624,0.031984007996002,2000,video_id,2
balanced_accuracy_binary_any_damage_oof,ensemble_soft_mean,classical-base_sgd_incremental-347f3734fb9e,-0.049508773709811965,-0.05997834770554234,-0.039157086740783296,0.0009995002498750624,0.031984007996002,2000,video_id,2
balanced_accuracy_binary_any_damage_oof,ensemble_soft_mean,classical-base_linear_svm-347f3734fb9e,-0.06039147558648173,-0.07103430273716604,-0.04973124421095553,0.0009995002498750624,0.031984007996002,2000,video_id,2
balanced_accuracy_binary_any_damage_oof,ensemble_soft_mean,classical-base_dummy-347f3734fb9e,-0.3396436361531902,-0.3527288381890895,-0.3260993023216134,0.0009995002498750624,0.031984007996002,2000,video_id,2
balanced_accuracy_binary_any_damage_oof,ensemble_soft_mean,classical-base_complement_nb-347f3734fb9e,-0.12595910594381848,-0.14115171132887766,-0.11161677477837278,0.0009995002498750624,0.031984007996002,2000,video_id,2
balanced_accuracy_binary_any_damage_oof,ensemble_soft_mean,classical-policy_informed_complement_nb-347f3734fb9e,-0.1568066186343658,-0.174092466853295,-0.13986658747246392,0.0009995002498750624,0.031984007996002,2000,video_id,2
balanced_accuracy_binary_any_damage_oof,ensemble_soft_mean,classical-policy_informed_logistic_regression-347f3734fb9e,-0.04346998600530897,-0.052956316791745964,-0.03386326799299507,0.0009995002498750624,0.031984007996002,2000,video_id,2
balanced_accuracy_binary_any_damage_oof,ensemble_soft_mean,classical-policy_informed_dummy-347f3734fb9e,-0.3395790514390998,-0.35312803405352877,-0.32596264773293443,0.0009995002498750624,0.031984007996002,2000,video_id,2
balanced_accuracy_binary_any_damage_oof,ensemble_soft_mean,classical-base_logistic_regression-347f3734fb9e,-0.041100291644785104,-0.051132034824727404,-0.030723406801379863,0.0009995002498750624,0.031984007996002,2000,video_id,2
balanced_accuracy_binary_any_damage_oof,ensemble_soft_mean,classical-policy_informed_linear_svm-347f3734fb9e,-0.06042316172548683,-0.07245928254336473,-0.04881219891559211,0.0009995002498750624,0.031984007996002,2000,video_id,2
balanced_accuracy_binary_any_damage_oof,ensemble_soft_mean,classical-policy_informed_sgd_incremental-347f3734fb9e,-0.05645063119630441,-0.06620748173271648,-0.045955655147268015,0.0009995002498750624,0.031984007996002,2000,video_id,2
balanced_accuracy_binary_any_damage_oof,ensemble_soft_mean,classical-logistic_regression_c1-54f7971c6000,-0.041048864288613415,-0.05173593165700661,-0.030473250289042974,0.0009995002498750624,0.031984007996002,2000,video_id,2
balanced_accuracy_binary_any_damage_oof,ensemble_soft_mean,classical-linear_svm_c1-54f7971c6000,-0.06008071863143144,-0.0717630158401709,-0.04941577403984148,0.0009995002498750624,0.031984007996002,2000,video_id,2
balanced_accuracy_binary_any_damage_oof,ensemble_soft_mean,classical-logistic_regression_c2-54f7971c6000,-0.04303180552146,-0.05339816992864959,-0.03271221284682664,0.0009995002498750624,0.031984007996002,2000,video_id,2
balanced_accuracy_binary_any_damage_oof,ensemble_soft_mean,classical-linear_svm_c2-54f7971c6000,-0.06459723611136417,-0.07626673296605299,-0.05303187186493408,0.0009995002498750624,0.031984007996002,2000,video_id,2
balanced_accuracy_binary_any_damage_oof,ensemble_soft_mean,classical-logistic_regression_c0p5-54f7971c6000,-0.03852428772355017,-0.04903400504865193,-0.027725336875558216,0.0009995002498750624,0.031984007996002,2000,video_id,2
balanced_accuracy_binary_any_damage_oof,ensemble_soft_mean,classical-linear_svm_c0p5-54f7971c6000,-0.050873682973945226,-0.06157161530239001,-0.0400461235868848,0.0009995002498750624,0.031984007996002,2000,video_id,2
balanced_accuracy_binary_any_damage_oof,ensemble_soft_mean,flat_minilm-b22c5fc226c1,-0.026156852045720637,-0.03524022531713837,-0.017149424318266025,0.0009995002498750624,0.031984007996002,2000,video_id,2
balanced_accuracy_binary_any_damage_oof,ensemble_soft_mean,flat_e5-97db1a639e0c,-0.025634441062061312,-0.03575527257670806,-0.016593504652480294,0.0009995002498750624,0.031984007996002,2000,video_id,2
balanced_accuracy_binary_any_damage_oof,ensemble_soft_mean,ensemble_soft_validation_weighted,-0.001658455233548807,-0.0043679308150298525,0.0008334221958550612,0.2288855572213893,0.2288855572213893,2000,video_id,2
balanced_accuracy_binary_any_damage_oof,ensemble_soft_mean,ensemble_hard_majority,-0.01123500937438072,-0.01914044351024017,-0.0038587583364434784,0.00399800099950025,0.031984007996002,2000,video_id,2
balanced_accuracy_binary_any_damage_oof,ensemble_soft_mean,ensemble_union,-0.007281406479872393,-0.014509611860176314,-0.0009256047991522337,0.017991004497751123,0.05397301349325337,2000,video_id,2
balanced_accuracy_binary_any_damage_oof,ensemble_soft_mean,ensemble_intersection,-0.01563320421239491,-0.023837220605684883,-0.007494045051841471,0.0009995002498750624,0.031984007996002,2000,video_id,2
